transcriptID;ncRNAName;AccessionID2;Description;PubMedID
263;linc1257;JARID1B;"Interacts with Lysine-specific demethylase 5B (JARID1B) either directly or in a complex. ";21874018
263;linc1257;SUV39H1;"Interacts with Histone-lysine N-methyltransferase SUV39H1 either directly or in a complex. ";21874018
263;linc1257;SETD8;"Interacts with N-lysine methyltransferase SETD8 either directly or in a complex. ";21874018
263;linc1257;CBX1;"Interacts with Chromobox protein homolog 1 (CBX1) either directly or in a complex.";21874018
265;SPRY4-IT1;SPRY4;"SPRY4-IT1 expressed in sense direction from the 2nd intron in SPRY4 gene.";21558391
266;Mistral;MLL1;"A short hairpin near the 3' of Mira (the activator binding motif) binds to the SET domain of MLL1.";21925392
266;Mistral;Hoxa6;"Mira mediated a local rearrangement in chromatin structure to bring the Mira, Hox66 and Hoxa7 gene loci into a complex.";21925392
266;Mistral;Hoxa7;"Mira mediated a local rearrangement in chromatin structure to bring the Mira, Hox66 and Hoxa7 gene loci into a complex.";21925392
267;PANDA;"NF-YA ";"PANDA binds NF-YA preventing it from binding target gene promoters";21642992
270;cyrano;miR-7;"cyrano has a highly conserved sequence which is hypothesised to be a miR-7 binding site. ";22196729
272;COLDAIR;CLF;"COLDAIR binds PRC2 complex protein CURLY LEAF (CLF)";21127216
272;COLDAIR;FLC;"Flowering locus C (FLC) is an important regulator of flowering time. Known to be repressed by prolonged cold (vernalization) epigenetically by the PHD-PRC2 complex";21127216
273;LINC00568;ECM1;"LINC00568 stimulates ECM1 gene expression ";20887892
274;KDM5B-AS1;KLHL12;"KDM5B-AS1 expression appears to stimulate KLHL12 gene expression";20887892
275;CYP4A22-AS1;"TAL1 ";"CYP4A22-AS1 expression stimulates TAL1 gene expression";20887892
276;PDZK1IP1-AS1;CMPK1;"PDZK1IP1-AS1 expression appears to stimulate CMPK1 gene expression";20887892
277;LINC00570;"ROCK2 ";"	LINC00570 expression appears to stimulate ROCK2 gene expression";20887892
278;LOC100887755;SNAI1;"Stimulates SNAI1 gene expression";20887892
278;LOC100887755;AURKA;"Stimulates AURKA gene expression";20887892
279;linc-MD1;miR-135;"linc-MD1 acts as an endogenous sponge or target mimic for miR-135 ";22000014
279;linc-MD1;"miR-133 ";"linc-MD1 acts as an endogenous sponge or target mimic for miR-133 ";22000014
280;SUT719;SUR7;"Low level SUR7 expression can be inhibited by SUT719.";21326235
280;SUT719;GAL80;"SUT719 shares a bidirectional promoter with GAL80.";21326235
281;"PTENP1 asRNAs";PTENP1;"PTENP1 asRNAs transcripts (alpha, beta and unspliced) expressed antisense to PTENP1 pseudogene.";23435381
281;"PTENP1 asRNAs";PTENP1;"PTENP1 asRNA beta isoform forms an RNA-RNA interaction with PTENP1 sense.";23435381
281;"PTENP1 asRNAs";PTEN;"PTENP1 asRNA alpha acts in trans by localising to the PTEN coding gene promoter and inhibiting expression.";23435381
281;"PTENP1 asRNAs";DNMT3A;"PTENP1 asRNA alpha binds DNMT3A (DNA methylase)";23435381
282;"Sry circRNA";miR-138;"Sry circRNA binds miR-138 and acts as a microRNA sponge.";23446346
